#Format: Slots,Skill1,Points1,Skill2,Points2
2,Protection,4,Ammo Saver,6
0,Ice Atk,5,Ammo Saver,5
3,Heavy Up,5,Ammo Saver,-2
0,Normal Up,3,Artillery,10
0,Crit Draw,5,Artillery,9
0,FastCharge,3,Artillery,8
3,Evade Dist,6,Artillery,-2
2,Tenderizer,1,Attack,8
0,Hearing,7,Attack,7
0,Blunt,4,Attack,6
1,Pierce Up,3,Attack,4
0,Crit Element,4,Attack,3
0,Expert,4,Attack,3
2,ColdBlooded,2,Attack,2
3,Guard,6,Attack,-2
2,Wind Res,10,Boltreaver X,3
0,TeamLeader,5,Bomb Boost,10
0,Transporter,6,Botany,7
1,Tenderizer,6,Bubble,1
3,Fencing,4,Capturer,-2
3,Loading,2,Chain Crit,3
2,Sheathing,1,Charmer,10
0,Dragon Atk,6,Charmer,10
2,Ammo Saver,7,Charmer,5
0,Rec Speed,6,Combo Rate,10
2,Water Atk,7,Constitution,3
0,Protection,7,Crit Draw,2
1,Distance Runner,5,Crit Draw,1
3,Potential,2,Critical Up,5
0,Loading,4,Critical Up,5
0,Evade Dist,5,Critical Up,4
0,Crit Element,6,Critical Up,3
0,Bubble,5,Crystalbeard X,3
0,Prolong SP,7,Crystalbeard X,1
0,KO,10,Crystalbeard X,1
3,Guts,5,Crystalbeard X,-2
2,Sheathe Sharpen,10,Dead Eye,4
1,Pierce Up,4,Dead Eye,4
3,Sheathe Sharpen,7,Defense,3
2,Sheathing,9,Destroyer,5
0,Hearing,4,Destroyer,4
2,Rapid Fire,5,Distance Runner,-1
1,Dead Eye,5,Dragon Atk,13
1,Guard,4,Dragon Atk,13
0,Biology,5,Dragon Atk,13
0,Wind Res,10,Dragon Atk,11
1,Sheathing,8,Dragon Atk,3
2,Transporter,5,Dragon Res,-1
0,Charmer,7,Dreadking,3
0,Crit Element,6,Dreadqueen X,3
0,Crit Element,3,Drilltusk,1
0,Endurance,4,Elderfrost X,2
0,HotBlooded,7,Evade Dist,4
3,ColdBlooded,5,Evasion,5
2,Elemental,7,Evasion,3
0,KO,6,Evasion,3
2,Wind Res,8,Evasion,1
0,Status,4,Expert,10
0,Heavy Up,4,Expert,10
0,FastCharge,4,Expert,9
0,Grinder,4,Expert,8
0,Ice Res,4,Expert,6
0,Endurance,1,Expert,5
0,Ammo Saver,7,Expert,4
3,Status,7,Expert,-2
3,Hearing,4,Fencing,3
3,Light Eater,2,Fencing,2
0,FastCharge,5,Fire Atk,13
0,Elemental,3,Fire Atk,12
0,Loading,5,Fire Atk,11
0,Biology,7,Fire Atk,10
3,Crit Element,1,Furor,5
0,Evasion,6,Gloves Off,3
0,Chain Crit,5,Grimclaw X,3
3,Potential,3,Grinder,4
3,ColdBlooded,5,Grinder,3
0,Evade Dist,5,Guard,5
0,Sharpness,5,Handicraft,5
0,Reload Spd,5,Handicraft,5
